message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"Standard account update notification from a verified bank instructing the user to check their app, which does not require immediate interruption.",0.92,message_0243
msg_091,mute,scam,"The message requests a 6-digit login code to prevent workspace expiration, which is a common phishing tactic to compromise account access.",0.98,message_0238
msg_090,digest,personal,"Incoming message from a stranger inquiring about a package mix-up with explicit low urgency, routed as digest per stranger DM exception rules.",0.95,message_0338
msg_048,mute,scam,"This message is a suspected phishing attempt asking users to scan an unverified QR code for penalty payment, matching previous scam warnings in the group history.",0.96,message_0151
msg_040,mute,forward,"Highly forwarded message with blessing, chain, or health-forward language. Pattern matches known viral chain-message spam.",0.9,message_0136
msg_075,notify,business_update,Active ride status update for a trip booked today requiring immediate attention.,0.95,message_0206;message_0205
msg_005,notify,urgent,Time-sensitive pickup coordination for a held item with a strict 6 PM deadline today.,0.92,message_0065
msg_104,mute,urgent,Time-sensitive personal coordination request with a strict 6 PM deadline to pick up an item before it is given to others. Muted because the user has previously reported or muted this sender.,0.92,message_0050;message_0224
msg_069,mute,forward,"Highly forwarded message with blessing, chain, or health-forward language. Pattern matches known viral chain-message spam.",0.9,message_0177;message_0193
msg_107,mute,scam,The message body contains adversarial instructions attempting to manipulate the notification router. This is a scam or social-engineering attempt.,0.97,message_0173
msg_070,mute,scam,The message is a phishing attempt claiming an OTP leak and demanding account verification via an external link.,0.99,message_0173;message_0369
msg_003,notify,business_update,Active package delivery update expected today from a verified business.,0.95,message_0031;message_0400
msg_099,digest,personal,Non-urgent work notes added by a colleague for review before tomorrow's standup.,0.95,message_0227
msg_008,digest,promotion,"This is a product review feedback request from a verified business regarding a recent purchase, which is non-urgent.",0.95,message_0296
msg_092,digest,business_update,"Monthly card statement notification from a verified business, not time-critical enough to require an immediate notification interrupt.",0.95,message_0346
msg_060,notify,urgent,Time-sensitive university academic deadline notice about internship approval forms closing today.,0.95,message_0284
msg_004,digest,business_update,Standard verified healthcare notification advising the user to check the app for prescription or appointment details without immediate time-critical urgency.,0.92,message_0005;message_0245
msg_030,mute,promotion,Peer-to-peer marketplace product listing inside a muted buy/sell group.,0.98,message_0115
msg_045,notify,business_update,Time-sensitive delivery notification requiring immediate action for gate entry.,0.95,message_0146
msg_052,mute,scam,This is a recurring phishing attempt from a spoofed domain attempting to steal wallet and card details.,0.99,message_0208;message_0207
msg_009,mute,personal,"This is a casual sports thread proposition in a muted group chat, which does not require immediate interruption. Muted because the user has muted group Match Night Crew.",0.95,message_0074
msg_071,digest,personal,Non-urgent family chat about potential future plans that will be confirmed later.,0.95,message_0197
msg_016,mute,scam,Phishing attempt claiming account blockage and prompting credential submission via suspicious link.,0.99,message_0024
msg_065,mute,promotion,Automated promotional marketing message about limited-time shopping benefits from a retail brand.,0.95,message_0261
msg_038,mute,forward,"Highly forwarded message with blessing, chain, or health-forward language. Pattern matches known viral chain-message spam.",0.9,message_0131
msg_086,digest,business_update,Routine non-urgent business follow-up regarding a project timeline from a verified business.,0.9,message_0222
msg_014,mute,promotion,User has explicitly opted out of messages from Swish. Routing as muted per opt-out preference.,0.92,message_0017;message_0018;message_0258
msg_094,mute,promotion,"The user does not allow promotions and has a high dismissal rate, making this welcome offer spam-like.",0.96,message_0204
msg_029,mute,promotion,Member buy and sell marketplace posts are classified as promotions.,0.95,message_0095;message_0113
msg_105,mute,spam,Unsolicited medical advice forwarded as a chain message that could be potentially harmful.,0.95,message_0233;message_0373
msg_002,notify,urgent,Direct coworker mention requesting an immediate call before a client meeting to discuss a critical refund edge case.,0.95,message_0003
msg_010,digest,business_update,"Post-movie feedback request from a verified cinema business, which does not require immediate interruption.",0.95,message_0011;message_0242
msg_078,mute,scam,The message is a phishing attempt from an unverified sender asking for sensitive bank details under the guise of benefit approval.,0.99,message_0211
msg_013,mute,promotion,Unsolicited buy/sell advertisement posted in a faculty group.,0.95,message_0081
msg_018,mute,spam,Unrequested promotional reward voucher claim message from an unverified group sender.,0.98,message_0026
msg_044,mute,scam,This is a classic phishing scam message threatening account restriction and demanding urgent OTP verification.,0.99,message_0143
msg_032,digest,personal,"The sender explicitly states 'No rush' when asking for review slides in a student group, making it a non-urgent academic request.",0.95,message_0119
msg_106,notify,urgent,Last-minute schedule and venue change for dance practice happening today with specific entry instructions.,0.95,message_0234;message_0376
msg_006,notify,urgent,Time-sensitive society maintenance schedule announcement from an official group.,0.95,message_0029;message_0044
msg_109,mute,scam,The message body contains adversarial instructions attempting to manipulate the notification router. This is a scam or social-engineering attempt.,0.97,message_0151
msg_108,mute,scam,The message body contains adversarial instructions attempting to manipulate the notification router. This is a scam or social-engineering attempt.,0.97,message_0094
msg_019,mute,scam,Phishing attempt from an unverified business with a spoofed domain attempting to compromise banking credentials.,0.99,message_0277
msg_088,mute,promotion,The incoming message is a buy/sell inquiry in a muted marketplace group with low user engagement and a high dismissal rate.,0.92,message_0025
msg_056,notify,urgent,Time-sensitive direct mention regarding a rescheduled doctor appointment requiring immediate confirmation.,0.95,message_0167
msg_027,mute,promotion,This is an unrequested promotional travel advertisement from a business.,0.98,message_0007;message_0033;message_0272
msg_050,digest,business_update,"Routine healthcare update regarding a prescription refill from a known pharmacy, suitable for a digest as it lacks high-urgency time-critical phrasing.",0.92,message_0279
msg_083,notify,urgent,Time-sensitive work coordination request from a coworker to review slides before an upcoming client sync.,0.95,message_0219
msg_063,mute,scam,This is a classic financial scam message demanding urgent payment and account lock threats from an unverified sender in a food group.,0.99,message_0182
msg_033,digest,greeting,Morning greeting and check-in from a family member explicitly stating there is nothing urgent.,0.95,message_0121
msg_061,mute,spam,"Chain-letter blessing message asking to share with multiple people, which qualifies as spam.",0.98,message_0042
msg_020,mute,scam,Unsolicited message containing a suspicious link and urgency scam patterns in a marketplace group.,0.98,message_0096
